0	0	-2258.8	768358	1.11073
0	1	-2317.89	910660	1.13983
0	2	-2276.93	756852	1.1
0	3	-2457.99	622578	1.11266
0	4	-2422.49	1.2998e+06	1.22031
0	5	-2354.72	4.84947e+06	1.43593
0	6	-2408.53	1.8356e+06	1.27613
0	7	-2410.89	2.8719e+06	1.342
0	8	-2450.66	658082	1.11007
0	9	-2455.35	597599	1.1
0	10	-2475.08	668872	1.11295
0	11	-2275.87	764449	1.1
0	12	-2270.56	845961	1.11757
0	13	-2273.38	779668	1.1
0	14	-2203.68	784597	1.1
0	15	-2196.25	768048	1.1
0	16	-2221.32	782577	1.10096
0	17	-2220.85	762526	1.1
0	18	-2225.33	820819	1.11081
0	19	-2221.04	772950	1.1
0	20	-2212.88	789911	1.1004
0	21	-2244.41	775980	1.1
0	22	-2306.91	887049	1.12552
0	23	-2313.63	773774	1.10002
0	24	-2307.18	887687	1.12235
0	25	-2301.73	758922	1.10002
0	26	-2313.47	1.15788e+06	1.16515
0	27	-2326.33	866590	1.12116
0	28	-2337.29	764954	1.1
0	29	-2358.76	863862	1.12046
0	30	-2329.7	877326	1.12053
0	31	-2400.75	809032	1.10341
0	32	-2357.7	811169	1.11463
0	33	-2332.71	767537	1.10002
0	34	-2345.41	770717	1.1
0	35	-2261.89	800066	1.10137
0	36	-2280.73	783145	1.1
0	37	-2279.11	835783	1.10205
0	38	-2235.71	740874	1.10002
0	39	-2038.47	2.17696e+07	1.65285
1	0	-2778.98	363934	1.01184
1	1	-2769.77	539057	1.06881
1	2	-2708.41	1.50802e+06	1.23272
1	3	-2784.52	547083	1.05653
1	4	-2838.54	423752	1.01816
1	5	-2832.12	349072	0.977081
1	6	-2750.57	813951	1.12107
1	7	-2762.66	610418	1.06965
1	8	-2264.14	3.30417e+06	1.29306
1	9	-2339.01	1.19737e+06	1.12118
1	10	-2354.06	1.04329e+06	1.10034
1	11	-2406.17	657071	1.02117
1	12	-2368.14	763761	1.04428
1	13	-2409.54	778713	1.04352
1	14	-2319.81	1.51495e+06	1.15092
1	15	-2369.15	938718	1.07403
1	16	-2186.07	3.83623e+06	1.2885
1	17	-2171.03	4.61422e+06	1.33611
1	18	-2248.57	2.75215e+06	1.24854
1	19	-2304.69	1.73081e+06	1.1656
1	20	-2237.79	3.76248e+06	1.28839
1	21	-2230.45	2.93864e+06	1.25442
1	22	-2220.62	1.83902e+06	1.17844
1	23	-2359.29	1.32055e+06	1.10703
1	24	-2418.82	1.18647e+06	1.08667
1	25	-2307.45	1.56257e+06	1.16493
1	26	-2243.64	2.45725e+06	1.23638
1	27	-2331.94	1.60349e+06	1.16859
1	28	-2235.93	4.65027e+06	1.34289
1	29	-2326.37	2.87795e+06	1.23883
1	30	-2287.26	1.31061e+06	1.13733
1	31	-2291.11	1.36701e+06	1.14947
1	32	-2347.78	2.2308e+06	1.22122
1	33	-2345.74	1.86138e+06	1.1997
1	34	-2308.57	3.54995e+06	1.29737
1	35	-2281.13	5.23496e+06	1.36518
1	36	-2365.87	1.19076e+06	1.13008
1	37	-2379.21	1.14884e+06	1.12994
1	38	-2332.04	1.37648e+06	1.16275
1	39	-3000	-159428	0.7
2	0	-2404.18	1.22015e+06	1.14904
2	1	-2314.03	4.46288e+06	1.36051
2	2	-2350.43	2.96753e+06	1.28589
2	3	-2500	1.2431e+06	1.21957
2	4	-2500	2.49597e+06	1.26464
2	5	-2500	1.6829e+07	1.7
2	6	-2500	1.74748e+07	1.7
2	7	-2500	1.23277e+07	1.66666
2	8	-2500	1.72678e+07	1.7
2	9	-2500	1.10015e+07	1.63671
2	10	-2500	1.61624e+07	1.7
2	11	-2500	1.84493e+07	1.69992
2	12	-2500	1.5546e+07	1.7
2	13	-2474.43	1.53627e+06	1.1
2	14	-2334.49	2.85618e+06	1.25396
2	15	-2331.7	2.35599e+06	1.22036
2	16	-2414.53	1.15497e+06	1.1006
2	17	-2381.24	2.24338e+06	1.19501
2	18	-2228.72	8.33096e+06	1.43263
2	19	-2360.19	2.98628e+06	1.27014
2	20	-2194.8	1.72132e+07	1.56156
2	21	-2191.75	2.37506e+07	1.61833
2	22	-2420.09	1.14561e+06	1.11423
2	23	-2212.76	2.2104e+07	1.60938
2	24	-2492.41	1.36979e+06	1.10074
2	25	-2203.25	2.35508e+07	1.60608
2	26	-2355.97	3.68317e+06	1.31175
2	27	-2418.56	2.15588e+06	1.22512
2	28	-2279.99	1.36556e+07	1.53215
2	29	-2481.57	5.31129e+06	1.39109
2	30	-2500	2.62583e+06	1.28043
2	31	-2477.48	2.21018e+06	1.22334
2	32	-2442.77	1.29309e+06	1.16516
2	33	-2500	2.17148e+06	1.26903
2	34	-2500	2.15574e+06	1.25643
2	35	-2500	1.84405e+06	1.22514
2	36	-2500	2.25558e+06	1.26779
2	37	-2352.42	1.47591e+06	1.16623
2	38	-2337.86	1.61047e+06	1.18743
2	39	-2237.17	4.99281e+07	1.7
3	0	-2119.89	3.20016e+07	1.7
3	1	-2340.99	943359	1.10149
3	2	-2324.5	990344	1.10511
3	3	-2301.79	909902	1.1
3	4	-2318.98	960651	1.1
3	5	-2322.22	1.14721e+06	1.12311
3	6	-2350.69	996600	1.10001
3	7	-2307.99	977197	1.1
3	8	-2380.46	969496	1.1
3	9	-2343.69	867562	1.1
3	10	-2371.92	1.0896e+06	1.11661
3	11	-2368	936782	1.1
3	12	-2320.62	1.75757e+06	1.1944
3	13	-2301.07	1.82224e+06	1.20068
3	14	-2330.2	2.17518e+06	1.23302
3	15	-2294.66	2.49227e+06	1.25515
