0	6323
1	6322
2	6324
3	6276
4	6297
5	6310
6	6311
7	6372
8	6330
9	6338
10	6392
11	6357
12	6279
13	4619
14	6306
15	6288
16	6262
17	6261
18	6243
19	6244
20	6243
21	6013
22	6302
23	6275
24	6276
25	6472
26	6538
27	6247
28	6347
29	6321
30	6315
31	6318
32	6296
33	6303
34	6307
35	6305
36	6316
37	6288
38	6292
39	6314
40	6306
41	6306
42	6319
43	6305
44	6317
45	6311
46	6293
47	6270
48	6263
49	6347
50	5001
51	6315
52	6325
53	6333
54	3233
55	5287
56	6301
57	6313
58	6337
59	6289
60	6305
61	6310
62	5613
63	6314
64	6310
65	4164
66	6324
67	6321
68	6324
69	6195
70	6337
71	6321
72	5001
73	6310
74	6324
75	6301
76	6301
77	6343
78	6356
79	6238
80	6259
81	6246
82	6256
83	6219
