49	8.98559
33	5.69035
52	13.3682
14	6.9927
83	1.55837
67	12.9014
15	8.80739
63	6.57031
50	-999
76	8.85962
13	10.5308
77	6.75285
8	3.85007
26	13.5436
73	19.4395
47	8.2675
65	8.97876
35	11.1054
71	16.4813
19	10.7078
32	8.36354
28	2.96435
12	9.58751
79	8.5537
74	9.73396
43	7.18103
66	13.1808
51	3.50977
68	15.4574
75	5.75976
82	-0.0772278
27	10.8865
54	12.5493
42	11.2834
11	9.84254
45	10.8509
30	5.53244
17	11.7685
10	13.7563
18	2.71412
48	5.15102
9	8.08859
81	11.7458
69	11.2913
58	8.63526
78	10.7089
34	8.9992
53	8.04261
72	-999
44	17.8665
7	9.12935
80	11.0353
70	7.65219
16	10.8007
55	11.1736
29	1.45426
21	27.8821
59	14.8045
1	9.45252
37	15.7145
40	10.4833
64	8.63463
5	9.35333
24	5.76676
60	12.9642
22	7.98018
2	7.61717
38	11.0447
39	16.0749
4	14.4839
23	9.25764
61	5.20214
31	17.2231
3	4.4935
46	7.86996
57	10.843
6	7.16048
62	59.7336
25	9.73915
41	13.1584
20	16.3085
56	12.8708
0	15.9235
36	6.79327
